Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
Boomi,Utilities,Equity,$415K,$9M,India
BOOMiO Music,Communication Services,Debt,$664K,$6M,New Zealand
Boomlagoon,Communication Services,Convertible Note,$922K,$6M,Canada
Boommy Fashion,Industrial,Convertible Note,$637K,$3M,Mexico
Boomr,Healthcare,STO,$377K,$6M,China
Boomrat,Consumer Staples,Debt,$708K,$1M,Malaysia
Boomsense,Healthcare,STO,$513K,$4M,Bangladesh
Boomset,Information Technology,Equity,$889K,$7M,Belgium
Boomtime,Consumer Staples,Equity,$298K,$3M,Canada
BoomTown,Real Estate,Convertible Note,$433K,$5M,Poland
Boomtown!,Industrial,Equity,$179K,$2M,Israel
boomtrain,Healthcare,STO,$883K,$9M,France
BoomWriter Media,Energy,Convertible Note,$533K,$8M,Israel
Boon,Industrial,Convertible Note,$17K,$1M,China
Boond,Utilities,Convertible Note,$949K,$7M,Sweden
Boondoc,Consumer Staples,Debt,$794K,$1M,South Africa
Boonle,Healthcare,STO,$903K,$8M,Sweden
Boonty,Communication Services,STO,$18K,$8M,United States
Booodl,Financials,Debt,$346K,$10M,United Kingdom
BooRah,Materials,Debt,$440K,$5M,Sweden
Booshaka,Materials,STO,$424K,$3M,Belgium
boosk,Utilities,Debt,$784K,$2M,New Zealand
Boosket,Communication Services,Convertible Note,$115K,$4M,United States
Boost,Consumer Descretionary,Convertible Note,$774K,$8M,India
Boost Academy,Consumer Descretionary,Convertible Note,$171K,$3M,Denmark
Boost Communications,Utilities,Equity,$729K,$7M,Poland
Boost My Ads,Industrial,Debt,$700K,$4M,France
Boost Your Campaign,Financials,Equity,$410K,$6M,Denmark
Boostability,Information Technology,Debt,$715K,$9M,Turkey
Boostable,Industrial,Equity,$212K,$3M,United Kingdom
Boost Media,Financials,Convertible Note,$831K,$4M,Denmark
Boosted Boards,Healthcare,Convertible Note,$148K,$2M,Bangladesh
Booster,Healthcare,Equity,$375K,$1M,United States
Booster,Materials,STO,$296K,$6M,Bangladesh
Booster Fuels,Materials,STO,$951K,$2M,Singapore
Booster.ly,Real Estate,STO,$472K,$4M,Thailand
Booster Pack,Consumer Staples,STO,$760K,$3M,Malaysia
BoosterMedia,Communication Services,STO,$838K,$3M,Singapore
Boosterville,Healthcare,Equity,$854K,$1M,United Kingdom
Boostinsider,Utilities,STO,$98K,$1M,Singapore
BoostSuite,Energy,STO,$758K,$1M,Mexico
BoostUp,Real Estate,STO,$207K,$1M,Indonesia
BoostWorks,Healthcare,STO,$830K,$5M,Spain
Bootdev,Energy,Debt,$461K,$4M,Afghanistan
Bootleg Market,Consumer Staples,Convertible Note,$18K,$4M,Turkey
Bootstrap Digital and Tech Ventures Inc.,Materials,Convertible Note,$562K,$7M,Afghanistan
BootstrapLabs,Consumer Staples,STO,$496K,$5M,United Kingdom
Bootup Labs,Consumer Descretionary,Convertible Note,$574K,$2M,India
Booxmedia,Financials,STO,$658K,$8M,Spain
Booyah,Information Technology,Convertible Note,$557K,$8M,Indonesia
Boozt Fashion,Healthcare,Equity,$441K,$9M,Belgium
bop.fm,Information Technology,Convertible Note,$680K,$8M,United States
BOPS,Healthcare,Convertible Note,$267K,$3M,Thailand
Boqii,Utilities,Debt,$234K,$7M,Iran
Boracci,Communication Services,Debt,$72K,$9M,Indonesia
Border City Media,Consumer Staples,Debt,$633K,$6M,Australia
Border Stylo,Industrial,Debt,$140K,$4M,South Africa
Borderfree,Industrial,STO,$659K,$4M,Israel
BorderJump,Materials,Convertible Note,$52K,$3M,Spain
Borders Group,Energy,Equity,$668K,$8M,Thailand
BorderX Lab,Information Technology,STO,$463K,$2M,Bangladesh
Boreal Genomics,Energy,Convertible Note,$692K,$7M,United States
Borean Pharma,Healthcare,Convertible Note,$607K,$1M,Mexico
Bornevia,Real Estate,Debt,$760K,$2M,Poland
Borqs,Real Estate,Convertible Note,$123K,$9M,South Africa
Borrego Solar Systems,Financials,Convertible Note,$472K,$4M,Sweden
Borro,Energy,Equity,$356K,$4M,South Africa
"Borrowed & Blue, Inc.",Communication Services,Equity,$570K,$6M,Denmark
Borrowell,Materials,STO,$86K,$4M,France
BorrowersFirst,Financials,Equity,$246K,$5M,Thailand
Borrowing Magnolia,Information Technology,Debt,$549K,$10M,United States
BorrowMyDoggy,Real Estate,Debt,$961K,$6M,Denmark
Boréal Bikes Incorporated,Industrial,Convertible Note,$88K,$9M,Ireland
BOS Better On-Line Solutions,Communication Services,STO,$509K,$3M,Mexico
Bosideng,Financials,Convertible Note,$861K,$5M,Israel
Boss Controls,Communication Services,Convertible Note,$701K,$5M,Belgium
BOSS Metrics,Real Estate,Convertible Note,$408K,$8M,United Kingdom
Bossa Nova Robotics Inc.,Industrial,Debt,$350K,$4M,Turkey
Bosse Tools,Financials,STO,$118K,$5M,Singapore
Bostan Research,Industrial,Equity,$474K,$4M,India
BostInno,Communication Services,Equity,$734K,$3M,Poland
Boston Biomedical,Materials,Equity,$478K,$2M,Sweden
Boston Boot,Real Estate,STO,$611K,$3M,Belgium
Boston Engineering,Energy,Debt,$456K,$5M,India
Boston Harbor Distillery,Energy,Convertible Note,$410K,$3M,China
Boston Heart Diagnostics,Materials,Convertible Note,$101K,$8M,New Zealand
Boston Logic,Utilities,STO,$735K,$6M,Ireland
Boston Medical Center,Real Estate,Debt,$168K,$10M,New Zealand
Boston Micromachines,Healthcare,STO,$770K,$6M,Turkey
Boston Out-Patient Surigal Suites,Information Technology,STO,$60K,$1M,Poland
Boston Technologies,Utilities,Debt,$192K,$7M,Poland
Boston Therapeutics,Communication Services,STO,$839K,$5M,Afghanistan
Boston University,Utilities,Equity,$433K,$3M,Iran
Boston Power,Consumer Staples,Debt,$932K,$1M,India
Bostwick Laboratories,Consumer Staples,Debt,$314K,$5M,Poland
bot2bot.com,Energy,Convertible Note,$987K,$9M,Mexico
Botanic Innovations,Utilities,STO,$528K,$3M,Singapore
Botanic Springs,Real Estate,Debt,$2K,$2M,Thailand
Botanica Exotica,Consumer Staples,Convertible Note,$105K,$10M,Mexico
Botanical Tans,Utilities,Convertible Note,$116K,$9M,United States
BotanoCap,Industrial,Equity,$233K,$5M,Thailand
Botego,Consumer Staples,Equity,$256K,$1M,Mexico
Botem,Consumer Staples,STO,$419K,$5M,Spain
Boticca,Materials,Debt,$967K,$7M,Turkey
Botlink,Information Technology,Convertible Note,$423K,$4M,Poland
BotScanner,Financials,STO,$232K,$1M,Spain
Bottle,Energy,Convertible Note,$381K,$5M,Australia
Digital Dandelion,Consumer Staples,Equity,$108K,$5M,Singapore
Bottlenose,Communication Services,Equity,$810K,$8M,Bangladesh
Bottleshake,Financials,STO,$100K,$3M,Ireland
BottlesTonight,Healthcare,Equity,$234K,$10M,New Zealand
Bottomline Technologies,Industrial,Debt,$805K,$9M,New Zealand
Bouf,Materials,STO,$256K,$3M,United Kingdom
bougue,Real Estate,Equity,$358K,$6M,Spain
Bouju,Communication Services,Equity,$195K,$8M,Iran
Boulder Imaging,Financials,Equity,$71K,$3M,Ireland
Boulder Ionics,Financials,STO,$777K,$4M,Thailand
Boulder Wind Power,Healthcare,Equity,$157K,$8M,India
Bounce - Fixed Fare Cabs,Financials,Equity,$914K,$2M,Thailand
Bounce Exchange,Real Estate,Equity,$977K,$8M,Australia
Bounce Imaging,Energy,Convertible Note,$242K,$10M,Thailand
bounce.io,Consumer Staples,STO,$836K,$6M,Malaysia
Bounce Mobile,Energy,STO,$721K,$10M,United States
BounceChat App,Information Technology,Convertible Note,$390K,$8M,Malaysia
Bouncefootball,Financials,Convertible Note,$499K,$5M,Malaysia
Boundary,Financials,STO,$525K,$2M,India
BoundaryMedical,Information Technology,Debt,$983K,$4M,Canada
Boundless,Communication Services,Debt,$418K,$5M,Spain
Boundless Network,Materials,STO,$707K,$2M,Afghanistan
"Boundless Spatial, Inc.",Healthcare,Equity,$648K,$4M,Belgium
Bountii,Healthcare,STO,$141K,$6M,New Zealand
bounty app,Communication Services,Debt,$166K,$7M,New Zealand
BountyHunter,Utilities,Convertible Note,$919K,$2M,Thailand
BountyJobs,Information Technology,STO,$366K,$4M,Mexico
Bountysource,Communication Services,STO,$649K,$1M,Spain
Bourbon & Boots,Communication Services,Convertible Note,$846K,$10M,United Kingdom
Bourn Hall Clinic,Consumer Descretionary,Convertible Note,$605K,$4M,Spain
Boursorama Bank,Utilities,STO,$727K,$8M,Bangladesh
Boutiika,Energy,STO,$695K,$1M,Australia
Boutique Window,Consumer Staples,Equity,$962K,$6M,United Kingdom
Boutir,Healthcare,Equity,$750K,$3M,Thailand
BovControl,Utilities,Debt,$326K,$1M,Mexico
Bovie Medical,Communication Services,STO,$597K,$10M,Israel
Bow & Drape,Information Technology,Debt,$920K,$4M,Australia
Bowery,Communication Services,Equity,$46K,$6M,New Zealand
Bowman Power,Consumer Descretionary,Debt,$489K,$8M,Belgium
Bownty,Energy,STO,$360K,$4M,United States
Box,Energy,Debt,$893K,$3M,Poland
Box & Automation Solutions,Utilities,Equity,$221K,$3M,Indonesia
Box Garden,Healthcare,Equity,$324K,$8M,Iran
Box Jump,Financials,Debt,$123K,$10M,Turkey
Box Score Games,Information Technology,Debt,$326K,$6M,Denmark
Box Upon a Time,Utilities,STO,$583K,$2M,United States
Box8,Communication Services,Equity,$728K,$6M,Bangladesh
Boxaroo for eBay,Energy,Equity,$639K,$7M,Canada
Boxbe,Financials,Convertible Note,$110K,$6M,Sweden
"Boxbee, Inc.",Utilities,Equity,$428K,$6M,Afghanistan
BoxC,Healthcare,Debt,$446K,$2M,New Zealand
Boxcar,Healthcare,Equity,$162K,$3M,Australia
BoxCast,Utilities,STO,$664K,$4M,United Kingdom
BoxCat,Materials,STO,$929K,$1M,Poland
Boxed,Information Technology,Convertible Note,$665K,$7M,Belgium
Boxee,Energy,STO,$752K,$1M,Iran
Boxella,Communication Services,Convertible Note,$725K,$1M,Australia
Boxer,Utilities,STO,$141K,$4M,Indonesia
Boxever,Consumer Staples,Debt,$526K,$2M,United States
Boxfish,Utilities,Equity,$395K,$3M,Ireland
BoxFox,Communication Services,Debt,$564K,$9M,Malaysia
Boxful,Consumer Descretionary,Debt,$885K,$7M,Bangladesh
Boxgard,Communication Services,Equity,$504K,$7M,Mexico
Boxit,Real Estate,Equity,$84K,$6M,Canada
BoxMan,Consumer Descretionary,Convertible Note,$959K,$7M,Ireland
BoxMySpace,Information Technology,STO,$325K,$6M,Ireland
Boxstar Media,Consumer Descretionary,Equity,$208K,$3M,New Zealand
BoxTone,Information Technology,STO,$933K,$4M,Sweden
BoxVentures,Communication Services,Debt,$555K,$6M,Indonesia
BOXX Technologies,Financials,Equity,$740K,$8M,Afghanistan
Boxxet,Industrial,Convertible Note,$797K,$5M,Singapore
Boyaa Interactive,Materials,Equity,$613K,$3M,United States
Boyd Corp,Utilities,Equity,$259K,$8M,Singapore
Boyibang,Information Technology,Debt,$606K,$6M,Turkey
Boylan Bottling,Healthcare,STO,$565K,$6M,Spain
Bozuko,Financials,Equity,$671K,$8M,Denmark
Bozza,Industrial,Equity,$443K,$10M,Ireland
BPA Solutions,Real Estate,Debt,$322K,$9M,Denmark
BPeSA,Consumer Descretionary,STO,$524K,$3M,Denmark
BPG-Werks,Information Technology,STO,$895K,$9M,India
BPL Global,Consumer Descretionary,Equity,$412K,$9M,Bangladesh
Bplats,Industrial,Debt,$642K,$9M,South Africa
BPT,Information Technology,STO,$484K,$3M,New Zealand
Bquate,Information Technology,STO,$502K,$7M,Afghanistan
BR Supply,Information Technology,Equity,$491K,$7M,Afghanistan
BRA Transportes Aereos,Consumer Staples,Equity,$137K,$6M,United States
BrabbleTV.com LLC,Financials,Debt,$382K,$1M,Denmark
Brabeion Software,Financials,Equity,$337K,$4M,Malaysia
Bracket Computing,Information Technology,STO,$486K,$1M,Poland
Bracketr,Consumer Staples,Equity,$57K,$7M,Belgium
Bracketz,Healthcare,Convertible Note,$912K,$5M,Israel
Braclet,Energy,STO,$49K,$6M,Singapore
Brad’s Raw Foods,Consumer Staples,Debt,$183K,$2M,India
Bradford Networks,Healthcare,Convertible Note,$384K,$3M,Canada
Bradshaw Propulsion,Consumer Staples,Debt,$477K,$1M,New Zealand
BragBet,Materials,Convertible Note,$358K,$6M,Belgium
Bragg Peak Systems,Information Technology,Equity,$240K,$7M,India
Bragi,Financials,Convertible Note,$486K,$10M,Ireland
Bragster,Utilities,Debt,$660K,$3M,France
BragThis.com,Consumer Staples,STO,$469K,$6M,Poland
Braigo Labs Inc.,Energy,Convertible Note,$559K,$9M,Israel
BRAIN,Energy,Equity,$22K,$4M,Sweden
Brain+,Utilities,Equity,$287K,$2M,Ireland
Brain in Hand,Utilities,Equity,$977K,$9M,Canada
Brain Parade,Healthcare,Equity,$760K,$2M,Indonesia
Brain Rack Industries Inc.,Financials,STO,$427K,$4M,South Africa
Brain Sentry,Healthcare,Debt,$297K,$10M,China
Brain Synergy Institute,Real Estate,STO,$692K,$4M,Denmark
Brain Tunnelgenix Technologies,Real Estate,Equity,$837K,$7M,Spain
"Brain4Net, Inc.",Materials,Convertible Note,$834K,$1M,Turkey
BrainBot,Financials,Equity,$753K,$5M,Israel
Peak,Financials,Equity,$671K,$1M,Indonesia
BrainCells,Healthcare,Debt,$339K,$6M,Ireland
Brainceuticals,Financials,Equity,$723K,$2M,Mexico
BrainCheck,Materials,Equity,$101K,$1M,Iran
BRAINDIGIT,Consumer Staples,Equity,$499K,$2M,Malaysia
Braingaze,Information Technology,STO,$454K,$6M,Iran
Brainiac TV,Materials,Convertible Note,$828K,$4M,Turkey
Brainient,Consumer Staples,Debt,$754K,$1M,Bangladesh
Brainjuicer,Energy,STO,$98K,$6M,New Zealand
BrainLAB,Utilities,Debt,$111K,$10M,New Zealand
Brainlike,Healthcare,Convertible Note,$881K,$8M,Turkey
Brainloop,Financials,STO,$235K,$8M,France
Brainly,Information Technology,STO,$944K,$8M,New Zealand
BrainMass,Utilities,Debt,$532K,$4M,Poland
Brainomix,Communication Services,STO,$883K,$4M,Ireland
Brainpark,Consumer Descretionary,STO,$258K,$1M,Israel
Brainquake,Real Estate,Equity,$13K,$4M,China
Brainrack,Real Estate,STO,$737K,$4M,South Africa
BRAINREPUBLIC,Energy,Equity,$550K,$5M,Denmark
BrainRush,Utilities,Equity,$6K,$1M,Singapore
Brainscape,Communication Services,Debt,$807K,$9M,Mexico
BrainScope Company,Healthcare,Debt,$529K,$5M,Canada
Brainsgate,Utilities,STO,$47K,$3M,Canada
Brainshark,Real Estate,STO,$374K,$8M,South Africa
BrainSINS,Materials,Convertible Note,$276K,$9M,India
Brainsonic,Healthcare,Debt,$575K,$9M,India
Brainstage,Information Technology,Equity,$500K,$5M,India
"BrainStorm, Inc.",Financials,Convertible Note,$694K,$8M,Bangladesh
BrainStorm Cell Therapeutics,Financials,Equity,$822K,$7M,United States
Brainsway,Consumer Staples,Convertible Note,$104K,$1M,Afghanistan
Braintech,Information Technology,Debt,$803K,$4M,Mexico
Braintree,Real Estate,Debt,$594K,$7M,Turkey
Brainwave Education,Communication Services,Debt,$606K,$5M,Canada
Wireless Tech,Real Estate,Debt,$923K,$8M,Australia
Brainz Games,Real Estate,Equity,$645K,$2M,Sweden
BrakeQuotes.com,Financials,Convertible Note,$383K,$4M,United Kingdom
Bramasol,Materials,Debt,$811K,$3M,United States
Brammo,Consumer Staples,STO,$734K,$3M,Spain
Branch,Energy,STO,$640K,$3M,New Zealand
Branch Metrics,Communication Services,Debt,$747K,$9M,China
Branch2,Real Estate,Debt,$70K,$7M,Spain
Branch8,Energy,Equity,$814K,$5M,Sweden
Branching Minds,Consumer Staples,Debt,$735K,$2M,South Africa
Branchly,Healthcare,STO,$558K,$6M,United Kingdom
BranchOut,Consumer Staples,Equity,$759K,$10M,Thailand
Branchpoint Technologies,Communication Services,Convertible Note,$693K,$6M,Malaysia
BranchTrack,Energy,Convertible Note,$904K,$4M,Denmark
Brand a Trend GmbH,Consumer Descretionary,Equity,$664K,$9M,Spain
Brand Affinity Technologies,Information Technology,Equity,$738K,$8M,Malaysia
Brand.ai,Industrial,Convertible Note,$895K,$5M,Belgium
brand eins Verlag,Materials,Equity,$917K,$7M,United States
Brand Embassy,Energy,Convertible Note,$667K,$8M,Malaysia
Brand Graphics,Information Technology,Convertible Note,$263K,$2M,Denmark
NAME'S Online Department Store,Consumer Descretionary,Convertible Note,$129K,$9M,China
Brand.net,Materials,Equity,$960K,$3M,South Africa
Brand Networks,Communication Services,Equity,$925K,$10M,India
Brand New Brands,Energy,Convertible Note,$755K,$7M,Iran
Brand Thunder,Communication Services,STO,$943K,$6M,Belgium
"Brand Value Accelerator, LLC",Utilities,Debt,$72K,$9M,Belgium
Brand3,Utilities,Equity,$790K,$4M,Poland
Extreme Reach (formerly BrandAds),Consumer Descretionary,Convertible Note,$59K,$2M,United States
Brandark,Communication Services,Debt,$384K,$7M,Turkey
BrandBeau,Real Estate,Convertible Note,$281K,$4M,Spain
BrandBoards,Consumer Descretionary,Equity,$576K,$2M,Spain
Brandboom,Communication Services,Equity,$28K,$9M,Singapore
Brandcast,Utilities,STO,$702K,$6M,Mexico
BrandCont,Financials,Convertible Note,$239K,$10M,Israel
BRANDCONTROL.NET,Real Estate,Debt,$429K,$4M,Belgium
Branded Online,Real Estate,STO,$502K,$6M,New Zealand
Branded Payment Solutions,Real Estate,STO,$943K,$1M,Australia
Branded Reality,Financials,Equity,$253K,$2M,Malaysia
Branderro,Consumer Descretionary,Convertible Note,$312K,$2M,Afghanistan
Branders.com,Communication Services,Equity,$358K,$3M,China
Brandfitters,Industrial,Equity,$860K,$5M,Denmark
Brandfolder,Consumer Descretionary,STO,$245K,$6M,United Kingdom
Brandicted,Healthcare,Convertible Note,$177K,$10M,United Kingdom
BRANDiD - Shop. Like a Man.,Real Estate,STO,$657K,$10M,Sweden
Brandiegames,Consumer Staples,Equity,$764K,$7M,Indonesia
Branding Brand,Materials,Debt,$528K,$8M,Indonesia
BrandingEnginner,Real Estate,Convertible Note,$132K,$9M,Singapore
Brandizi,Communication Services,Convertible Note,$817K,$4M,China
Brandkids,Information Technology,Debt,$709K,$6M,Afghanistan
Brandle,Real Estate,STO,$407K,$7M,Iran
Brandleton and Charm,Consumer Descretionary,Debt,$795K,$2M,France
Brandlive,Consumer Descretionary,STO,$969K,$8M,Sweden
Brandma.co,Consumer Staples,Equity,$317K,$4M,Afghanistan
Brandmail Solutions,Consumer Descretionary,STO,$431K,$1M,Indonesia
BrandMaker,Information Technology,STO,$894K,$7M,France
BrandMe crowdmarketing,Utilities,Convertible Note,$837K,$3M,Malaysia
Brandnew IO,Communication Services,STO,$676K,$1M,United States
Brandpotion,Information Technology,Debt,$200K,$5M,South Africa
BrandProject,Real Estate,Debt,$867K,$1M,India
Brands Of,Consumer Descretionary,STO,$395K,$1M,Indonesia
brands4friends,Consumer Descretionary,Debt,$115K,$4M,India
Brandsclub,Information Technology,Debt,$974K,$6M,Mexico
BrandShield,Energy,Debt,$723K,$1M,Afghanistan
Brandtale,Consumer Descretionary,STO,$253K,$3M,China
Brandtology,Information Technology,STO,$864K,$1M,Thailand
Brandtone,Real Estate,Debt,$760K,$4M,Spain
Brandtree,Communication Services,Equity,$26K,$1M,Malaysia
BrandVee,Consumer Staples,STO,$385K,$9M,India
Brandwatch,Energy,STO,$38K,$8M,Mexico
BrandWatch Technologies,Utilities,Equity,$160K,$8M,Iran
Brandwood Global,Industrial,Convertible Note,$832K,$1M,United Kingdom
BrandYourself,Utilities,Equity,$10K,$3M,France
Branham properties,Consumer Staples,Convertible Note,$242K,$9M,Denmark
Branto Inc.,Healthcare,Equity,$26K,$10M,New Zealand
Brash Entertainment,Consumer Staples,STO,$618K,$7M,South Africa
Brasil Ozônio,Utilities,Convertible Note,$630K,$10M,Singapore
Brass Monkey,Consumer Descretionary,Debt,$27K,$6M,United Kingdom
"#BratPackStyle, LLC.",Consumer Staples,STO,$606K,$9M,Singapore
Brave New Coin,Communication Services,Debt,$811K,$10M,New Zealand
Brave Software,Energy,Debt,$538K,$3M,Australia
BraveIT Solutions,Utilities,Debt,$443K,$7M,United Kingdom
BraveNew,Financials,Debt,$902K,$9M,Afghanistan
Bravo,Industrial,Convertible Note,$32K,$8M,Denmark
Bravo Inns,Communication Services,Equity,$945K,$4M,South Africa
Bravo Pack,Utilities,Convertible Note,$500K,$3M,Turkey
Bravo Wellness,Communication Services,Debt,$23K,$2M,Singapore
Bravoavia,Financials,STO,$596K,$5M,Bangladesh
Bravofly,Consumer Descretionary,Equity,$369K,$5M,France
BravoSolution,Materials,Debt,$214K,$4M,Israel
Brayola,Information Technology,Debt,$436K,$6M,Iran
Brazeco,Financials,STO,$156K,$1M,Mexico
Brazen,Financials,Convertible Note,$892K,$1M,Indonesia
Brazil Plus,Utilities,Debt,$316K,$7M,Indonesia
Brazil Tower Company,Materials,Equity,$169K,$6M,United Kingdom
Brazzlebox,Communication Services,Equity,$725K,$3M,United Kingdom
BRCK,Industrial,STO,$491K,$6M,Bangladesh
Alta Motors,Healthcare,Debt,$720K,$2M,Ireland
Breach Security,Real Estate,STO,$532K,$4M,United States
Bread,Utilities,STO,$73K,$1M,New Zealand
Bread,Communication Services,Convertible Note,$226K,$10M,Belgium
Breadcrumbtracking,Healthcare,STO,$937K,$7M,New Zealand
Breadtrip,Healthcare,STO,$379K,$9M,Iran
Break Media,Information Technology,Convertible Note,$323K,$6M,Indonesia
Break30,Information Technology,Equity,$522K,$3M,Belgium
Breaker,Utilities,Equity,$866K,$10M,Iran
Breaking Media,Healthcare,STO,$515K,$8M,New Zealand
BreakingPoint Systems,Consumer Staples,Debt,$405K,$2M,Australia
Breakmoon.com,Healthcare,Convertible Note,$137K,$10M,Thailand
Makeable,Healthcare,Convertible Note,$541K,$7M,Iran
Breakout Studios,Materials,STO,$807K,$9M,China
BreakStudy,Communication Services,STO,$534K,$8M,United States
BreakTheCrates.com,Energy,Debt,$496K,$3M,Denmark
Breakthrough Behavioral,Communication Services,Convertible Note,$885K,$9M,Turkey
Breaktime Studios,Healthcare,Convertible Note,$426K,$7M,Thailand
Breath of Life,Materials,Convertible Note,$330K,$5M,Belgium
BreathalEyes,Healthcare,STO,$61K,$5M,United States
BreatheAmerica,Industrial,Convertible Note,$683K,$9M,France
Breathe Technologies,Utilities,Convertible Note,$836K,$6M,Australia
Breather,Information Technology,Convertible Note,$531K,$8M,Spain
Breathez Vac Services,Healthcare,STO,$401K,$2M,Mexico
Breathing Buildings,Healthcare,Equity,$392K,$1M,Poland
Breathometer,Communication Services,STO,$212K,$7M,United Kingdom
Breathtec Biomedical,Financials,Debt,$473K,$6M,Afghanistan
BRECIS Communication,Real Estate,Debt,$780K,$6M,Denmark
BreconRidge,Real Estate,Equity,$845K,$6M,Iran
Breethe,Financials,Debt,$86K,$9M,Mexico
Breeze,Consumer Descretionary,Equity,$449K,$5M,Belgium
Breeze,Communication Services,Equity,$108K,$3M,India
Breeze Tech,Energy,Debt,$542K,$7M,Denmark
Breeze Technology,Industrial,Debt,$750K,$10M,United States
Breezeplay,Materials,Convertible Note,$836K,$10M,Iran
Breezeworks,Healthcare,Debt,$568K,$10M,United States
BreezoMeter,Healthcare,Equity,$569K,$1M,Israel
Breezy,Consumer Descretionary,Debt,$739K,$2M,South Africa
Breezy Gardens,Real Estate,Convertible Note,$76K,$10M,Indonesia
Breitbart News Network,Consumer Descretionary,STO,$938K,$6M,New Zealand
Breker Verification Systems,Real Estate,Debt,$608K,$5M,Thailand
Brekford Corp,Consumer Descretionary,STO,$37K,$6M,Thailand
Bremer Financial Corporation,Consumer Staples,STO,$862K,$2M,Canada
Brenco,Consumer Descretionary,Debt,$49K,$10M,Belgium
Brent Technologies,Materials,Debt,$158K,$8M,Bangladesh
Brentwood Investments,Energy,Equity,$206K,$10M,Ireland
Brentwood Media Group,Financials,Convertible Note,$234K,$6M,China
BRES Advisors,Utilities,STO,$223K,$9M,Thailand
"brettapproved, Inc.",Industrial,Debt,$441K,$2M,Israel
Bretzel love,Financials,Equity,$920K,$1M,Sweden
Brevado,Real Estate,Equity,$245K,$4M,Afghanistan
Brevity,Energy,STO,$562K,$4M,South Africa
Brevo,Consumer Descretionary,Equity,$626K,$5M,United Kingdom
Brew Solutions,Information Technology,STO,$66K,$8M,United States
BrewDog,Financials,Debt,$980K,$4M,France
Briabe Mobile,Real Estate,STO,$438K,$9M,Poland
Brian Industries,Industrial,Equity,$534K,$7M,Denmark
brick&mobile,Real Estate,STO,$961K,$2M,United Kingdom
BrickTrends,Energy,Equity,$223K,$5M,Canada
Brick2Click,Industrial,STO,$735K,$6M,Spain
Brickell Bay Acquisition,Consumer Descretionary,Convertible Note,$904K,$8M,New Zealand
Brickell Biotech,Real Estate,STO,$903K,$7M,New Zealand
Brickfish,Materials,Equity,$661K,$8M,Iran
Brickflow,Materials,Equity,$134K,$3M,France
Brickleys Property Solutions,Communication Services,Debt,$915K,$10M,Singapore
crowdhouse.ch (Bricks & Bytes AG),Real Estate,Convertible Note,$621K,$4M,Bangladesh
Bricksolve,Real Estate,STO,$34K,$10M,United Kingdom
Brickstream,Communication Services,Debt,$330K,$8M,Indonesia
BrickVest,Communication Services,Debt,$690K,$6M,Belgium
Brickwork,Consumer Descretionary,Equity,$606K,$8M,United States
BrickX,Materials,Convertible Note,$587K,$10M,United Kingdom
Bricoprivé.com,Financials,Convertible Note,$545K,$5M,Canada
Bricsnet,Communication Services,Debt,$53K,$7M,Bangladesh
brideasmart,Energy,STO,$430K,$5M,Poland
Bridesandlovers.com,Utilities,STO,$836K,$6M,South Africa
Brideside,Communication Services,Equity,$393K,$4M,United Kingdom
Bridestory,Industrial,Debt,$222K,$8M,Australia
Bridg,Utilities,Equity,$606K,$8M,Ireland
Bridg,Consumer Staples,Debt,$384K,$9M,Afghanistan
Bridge,Communication Services,Equity,$879K,$4M,Australia
Bridge Energy Group,Consumer Descretionary,Convertible Note,$687K,$5M,United Kingdom
Bridge International Academies,Materials,Debt,$770K,$6M,India
Bridge Mobile,Materials,STO,$133K,$6M,Poland
Bridge Pharmaceuticals,Information Technology,Debt,$247K,$10M,Thailand
Bridge Semiconductor,Healthcare,STO,$772K,$3M,Belgium
Bridge Software LLC,Information Technology,STO,$502K,$2M,India
Bridge2 Solutions,Healthcare,Convertible Note,$742K,$7M,Iran
BridgeCo,Utilities,STO,$451K,$7M,United Kingdom
Bridgecrest Medical,Energy,Equity,$799K,$9M,Bangladesh
Bridgefy,Financials,Debt,$38K,$7M,Belgium
Bridgeline Digital,Information Technology,Convertible Note,$649K,$6M,Poland
BridgeLux,Industrial,Debt,$54K,$3M,China
BridgePoint Medical,Energy,Debt,$101K,$10M,Singapore
BridgePort Networks,Consumer Descretionary,Equity,$907K,$1M,Sweden
Ethical Property,Real Estate,Debt,$616K,$1M,New Zealand
Bridgestream,Real Estate,STO,$140K,$5M,United Kingdom
BridgeU,Information Technology,Equity,$666K,$4M,Sweden
Bridgevine,Energy,STO,$731K,$1M,Sweden
Bridgewater Systems,Consumer Descretionary,Equity,$53K,$5M,Spain
BridgeWave Communications,Real Estate,STO,$432K,$4M,Australia
Bridgeway Capital,Consumer Descretionary,Convertible Note,$446K,$8M,France
BridgeX,Utilities,STO,$668K,$6M,Belgium
BridgeXs,Information Technology,Debt,$767K,$4M,Canada
Bridj,Energy,STO,$208K,$6M,United States
BriefCam,Consumer Staples,Debt,$234K,$10M,China
Briefcase,Industrial,Convertible Note,$386K,$10M,Israel
Briefing Media,Industrial,Convertible Note,$898K,$4M,Canada
BrieFix,Consumer Staples,Convertible Note,$135K,$3M,Australia
Briefly,Materials,Convertible Note,$589K,$5M,United States
BriefMe,Industrial,Equity,$608K,$9M,Canada
